phase_pct,hip_flex_mean(deg),hip_flex_sd(deg),hip_add_mean(deg),hip_add_sd(deg),hip_rot_mean(deg),hip_rot_sd(deg)
0.00,-10.848248,8.154725,3.624277,4.534426,-13.274277,7.252173
1.00,-11.330193,7.895326,4.153103,4.214117,-13.174678,7.083304
2.00,-11.768248,7.645383,4.648260,3.962727,-13.012526,7.026884
3.00,-12.174873,7.299444,5.096380,3.773454,-12.769873,7.024501
4.00,-12.537730,6.814864,5.412893,3.572318,-12.373575,7.012235
5.00,-12.916731,6.319591,5.712876,3.425096,-11.921631,7.022377
6.00,-13.302700,5.832161,5.959468,3.272453,-11.392190,7.007071
7.00,-13.737286,5.428711,6.195440,3.167861,-10.807503,7.001076
8.00,-14.162723,5.101348,6.380075,3.106889,-10.168194,7.041099
9.00,-14.554276,4.839140,6.495972,3.003371,-9.464820,7.111465
10.00,-14.863318,4.680943,6.505317,2.930225,-8.663801,7.230363
11.00,-15.024910,4.633975,6.350615,2.873511,-7.757446,7.381262
12.00,-14.939860,4.667596,6.012394,2.856629,-6.747880,7.582180
13.00,-14.681842,4.752354,5.567333,2.899223,-5.700311,7.826204
14.00,-14.330089,4.873231,5.085311,2.987552,-4.649782,8.093294
15.00,-13.905555,4.984980,4.639031,2.966068,-3.633572,8.411459
16.00,-13.455753,5.089236,4.277407,2.858336,-2.663306,8.756575
17.00,-12.994137,5.167622,4.018742,2.763351,-1.722406,9.101058
18.00,-12.523131,5.252656,3.825588,2.715476,-0.794402,9.455337
19.00,-12.082219,5.324482,3.698756,2.669168,0.108465,9.817960
20.00,-11.644135,5.332390,3.575879,2.642714,1.037950,10.150751
21.00,-11.201777,5.298476,3.433999,2.623976,1.987292,10.447731
22.00,-10.726038,5.188228,3.291669,2.561612,2.955993,10.741467
23.00,-10.182681,5.038064,3.135572,2.563290,3.926692,11.021540
24.00,-9.632273,4.914448,2.991212,2.589142,4.894666,11.299488
25.00,-9.090410,4.848509,2.869680,2.616558,5.835327,11.545175
26.00,-8.563402,4.853665,2.773501,2.560345,6.747714,11.774961
27.00,-8.058838,4.937819,2.705112,2.512718,7.629450,11.973452
28.00,-7.636208,5.092505,2.682133,2.496712,8.447811,12.167163
29.00,-7.223366,5.233578,2.646498,2.405310,9.235221,12.354230
30.00,-6.857671,5.322212,2.588842,2.216295,9.980109,12.534384
31.00,-6.545921,5.424093,2.524928,2.020439,10.679768,12.706639
32.00,-6.258697,5.525025,2.467271,1.855737,11.326860,12.883554
33.00,-5.969881,5.582767,2.430835,1.721020,11.926329,13.027727
34.00,-5.689183,5.648322,2.422081,1.630769,12.478086,13.159729
35.00,-5.416923,5.720878,2.431998,1.585724,13.004699,13.267750
36.00,-5.112404,5.768482,2.434654,1.585314,13.514421,13.337688
37.00,-4.754574,5.775813,2.418948,1.611412,14.026937,13.365943
38.00,-4.349448,5.754448,2.395195,1.674178,14.530025,13.330648
39.00,-3.948662,5.815182,2.380299,1.779032,15.006978,13.272688
40.00,-3.565570,6.000406,2.371396,1.922234,15.456539,13.187785
41.00,-3.161300,6.212174,2.335290,2.025871,15.873726,13.070184
42.00,-2.757118,6.489573,2.292511,2.107217,16.243069,12.935444
43.00,-2.325747,6.768217,2.237622,2.114313,16.563559,12.789657
44.00,-1.880305,7.172207,2.172103,2.105670,16.839027,12.610722
45.00,-1.402525,7.642585,2.073627,2.078151,17.057833,12.392612
46.00,-0.885285,8.170157,1.943454,2.052358,17.205048,12.155546
47.00,-0.249326,8.675394,1.750291,2.035411,17.239477,11.902308
48.00,0.428052,9.106699,1.548595,2.058405,17.189161,11.656672
49.00,1.201280,9.495115,1.302626,2.135491,17.029364,11.391462
50.00,2.010485,9.801032,1.095284,2.173271,16.781223,11.146900
51.00,2.858703,10.027709,0.869127,2.216814,16.435442,10.917620
52.00,3.708182,10.146537,0.664638,2.222405,16.005426,10.726080
53.00,4.447338,10.156828,0.473650,2.257673,15.438467,10.586672
54.00,5.096823,10.098677,0.302420,2.293094,14.780961,10.501316
55.00,5.691303,9.990257,0.167859,2.302595,14.034275,10.481206
56.00,6.162402,9.761882,0.004448,2.275892,13.204198,10.482596
57.00,6.561612,9.574158,-0.191891,2.204653,12.284494,10.508835
58.00,6.814057,9.403344,-0.459667,2.178342,11.248158,10.473287
59.00,6.895376,9.281587,-0.713942,2.213117,10.117704,10.440941
60.00,6.872100,9.254032,-0.871615,2.241160,8.960956,10.438591
61.00,6.619228,9.197193,-0.931589,2.241245,7.815183,10.462051
62.00,6.137694,9.127169,-0.943286,2.217279,6.678531,10.482163
63.00,5.345009,8.929065,-0.949687,2.213463,5.510824,10.464993
64.00,4.310245,8.699326,-0.925083,2.212827,4.353760,10.492740
65.00,3.146521,8.493004,-0.880950,2.208927,3.235192,10.566590
66.00,1.837874,8.322611,-0.795276,2.196409,2.168886,10.689636
67.00,0.453422,8.208370,-0.686607,2.173215,1.143299,10.854957
68.00,-0.934991,8.122358,-0.565381,2.139023,0.167956,11.074805
69.00,-2.288525,8.010537,-0.450556,2.115849,-0.756469,11.335039
70.00,-3.598792,7.844624,-0.334885,2.116489,-1.627985,11.613497
71.00,-4.792921,7.564255,-0.224119,2.150645,-2.408928,11.897807
72.00,-5.910386,7.193569,-0.129676,2.194617,-3.090827,12.169171
73.00,-6.994974,6.801243,-0.057052,2.203518,-3.672792,12.424459
74.00,-8.024306,6.455291,-0.016528,2.121577,-4.150992,12.645289
75.00,-8.971800,6.234790,0.007685,1.989006,-4.563381,12.841722
76.00,-9.766986,6.186947,0.035208,1.840295,-4.928011,13.017627
77.00,-10.382589,6.339603,0.030090,1.843258,-5.267241,13.168440
78.00,-10.868971,6.657748,0.000121,2.061724,-5.600277,13.306643
79.00,-11.177879,7.076707,-0.128946,2.436528,-5.898818,13.416260
80.00,-11.320009,7.504192,-0.302796,2.814989,-6.174752,13.501133
81.00,-11.304546,7.891157,-0.514041,3.161632,-6.426665,13.571116
82.00,-11.161119,8.240236,-0.703028,3.293375,-6.707540,13.591399
83.00,-10.908347,8.558820,-0.915712,3.279873,-6.987182,13.586637
84.00,-10.550693,8.796833,-1.117490,3.163063,-7.284774,13.548265
85.00,-10.016353,8.965453,-1.315900,2.938945,-7.579144,13.466457
86.00,-9.411394,9.132984,-1.519802,2.702216,-7.850459,13.362425
87.00,-8.810017,9.305667,-1.749432,2.531796,-8.120691,13.218817
88.00,-8.290944,9.556247,-2.013216,2.499476,-8.393331,13.004310
89.00,-7.877128,9.802132,-2.237622,2.715298,-8.679852,12.747116
90.00,-7.606860,10.095838,-2.276995,3.068305,-9.055109,12.449705
91.00,-7.417494,10.365940,-2.118511,3.555775,-9.503263,12.127708
92.00,-7.251294,10.575187,-1.730129,4.010894,-10.033186,11.796025
93.00,-7.137396,10.700488,-1.196717,4.478045,-10.544800,11.439607
94.00,-7.106139,10.655453,-0.628344,4.846473,-10.997451,11.009725
95.00,-7.080593,10.499000,-0.109339,5.033583,-11.350761,10.493820
96.00,-7.208860,10.241478,0.458014,5.081935,-11.669079,9.910702
97.00,-7.480747,10.026803,1.060777,5.080382,-11.947502,9.322040
98.00,-7.986848,9.759493,1.673027,5.001225,-12.160110,8.731994
99.00,-8.506100,9.508842,2.273099,4.841735,-12.321012,8.219813
100.00,-9.033840,9.280345,2.870969,4.672248,-12.463002,7.792713
